ds,yhat,yhat_lower,yhat_upper,RegionName
2005-11-30,120632.45605184884,119367.83167818021,121811.64198377456,Alabama
2005-12-31,121567.19198526378,120312.36761935912,122911.45338352119,Alabama
2006-01-31,122096.86856176791,120844.96238756817,123416.47160752676,Alabama
2006-02-28,122637.67992564157,121325.84221826452,123824.1865603357,Alabama
2006-03-31,123267.77662170987,121968.69881313463,124499.75100190313,Alabama
2006-04-30,123860.70865431926,122691.62754336203,125112.07433074893,Alabama
2006-05-31,124382.83541969015,123142.74220767186,125615.62249630126,Alabama
2006-06-30,124924.52981173366,123645.89142819757,126226.44708583398,Alabama
2006-07-31,125525.92984726447,124276.63045963891,126822.73741791521,Alabama
2006-08-31,126137.52066174665,124890.97488479633,127392.13680351524,Alabama
2006-09-30,126410.9534834803,125111.64134284647,127678.38838055858,Alabama
2006-10-31,126646.08696639386,125348.30228894221,127907.25724999684,Alabama
2006-11-30,126751.8187647817,125520.83740697942,128097.93770553495,Alabama
2006-12-31,126889.54187155579,125682.35573806996,128247.20285923831,Alabama
2007-01-31,127043.53267355816,125692.88366195466,128239.95415338088,Alabama
2007-02-28,127331.96770974174,126068.327452544,128600.31546581908,Alabama
2007-03-31,127635.08750474635,126320.51198068891,128934.90803439774,Alabama
2007-04-30,127799.79523806807,126481.50909074847,129033.69069827803,Alabama
2007-05-31,127901.31554485788,126654.02162427429,129202.5041217598,Alabama
2007-06-30,127981.97037881373,126697.91908930904,129245.23396586723,Alabama
2007-07-31,128151.75285771748,126848.80196124062,129452.04667672991,Alabama
2007-08-31,128425.4772607343,127206.74244288259,129681.77908403227,Alabama
2007-09-30,128832.19907278662,127656.73990200923,130036.95611130253,Alabama
2007-10-31,129106.41733121197,127764.07529658114,130415.5855736454,Alabama
2007-11-30,129068.92907237646,127826.57237276745,130305.02653164367,Alabama
2007-12-31,129115.10983648509,127799.20889755776,130399.5945976113,Alabama
2008-01-31,129291.67783853685,128054.46560131207,130514.9618964516,Alabama
2008-02-29,129634.90080757574,128352.79395941243,130872.94054886654,Alabama
2008-03-31,129751.98286179159,128513.56468643779,131036.93130600711,Alabama
2008-04-30,130070.04334888107,128762.0876631613,131395.66416930628,Alabama
2008-05-31,130269.56467869617,129034.40569031922,131547.77335739892,Alabama
2008-06-30,130611.58188862732,129299.88439842113,131927.46819585012,Alabama
2008-07-31,130923.7116221243,129721.0525855377,132202.15552666242,Alabama
2008-08-31,131058.68560070709,129745.38577804597,132244.85707012645,Alabama
2008-09-30,131085.95146834885,129781.10218701808,132313.05061079774,Alabama
2008-10-31,131268.5688485629,129949.83939076179,132505.64466423303,Alabama
2008-11-30,131690.17162845453,130436.01538506862,132928.9430567843,Alabama
2008-12-31,132056.72311403707,130727.85992427515,133319.8509954298,Alabama
2009-01-31,132214.64615220093,130859.92255142375,133512.40782860576,Alabama
2009-02-28,132331.203620445,131059.09267555771,133554.3598932033,Alabama
2009-03-31,132535.33371972913,131297.32637305144,133836.4617856327,Alabama
2009-04-30,132827.21368038488,131474.65681679617,134028.43778452638,Alabama
2009-05-31,133018.1068807648,131780.35464816948,134268.09968615574,Alabama
2009-06-30,132060.95052848075,130757.659262182,133282.9226536958,Alabama
2009-07-31,131070.93498880551,129824.02529471093,132337.5154633272,Alabama
2009-08-31,129997.3645011727,128670.13592820447,131301.83099131216,Alabama
2009-09-30,128940.32070521498,127703.63434753909,130178.56727510868,Alabama
2009-10-31,127895.7883890477,126525.13315317646,129128.25882676968,Alabama
2009-11-30,126945.79338144946,125597.56925236007,128178.71173008875,Alabama
2009-12-31,125941.23922720438,124753.05209415934,127192.5540907656,Alabama
2010-01-31,124839.89520205028,123697.47311379616,126098.03004977369,Alabama
2010-02-28,123907.52666765275,122662.95615108062,125287.32052746403,Alabama
2010-03-31,122906.60275700585,121596.134232221,124134.96151111703,Alabama
2010-04-30,121921.12775085868,120628.84375630066,123240.71411596089,Alabama
2010-05-31,120812.23390951398,119560.9716230533,122118.36931642907,Alabama
2010-06-30,119775.52126280061,118539.82048622251,121069.22263682654,Alabama
2010-07-31,118745.90069161663,117507.08754174253,120015.87777894759,Alabama
2010-08-31,117726.47089938354,116460.19386383051,118970.80702227107,Alabama
2010-09-30,116803.586211102,115589.33953500478,118067.00141512188,Alabama
2010-10-31,115802.52493366887,114629.67627877758,117052.32968207756,Alabama
2010-11-30,115711.27645388138,114510.18049019943,116959.01166031213,Alabama
2010-12-31,115645.45327320845,114394.0829652128,116877.14959547848,Alabama
2011-01-31,115595.89778776086,114327.54220877924,116870.5768015327,Alabama
2011-02-28,115700.48456431473,114462.28741183577,116925.26081003557,Alabama
2011-03-31,115800.0580718713,114517.35367686453,117064.72221833069,Alabama
2011-04-30,115767.78552701777,114488.59663639856,117067.13283597752,Alabama
2011-05-31,115665.75953782405,114364.2247324024,116819.31136263345,Alabama
2011-06-30,115549.43408534452,114248.45282645409,116822.2547146962,Alabama
2011-07-31,115515.67027472066,114281.74184452042,116717.49891472346,Alabama
2011-08-31,115585.84838820994,114366.67990395633,116903.94885402781,Alabama
2011-09-30,115795.58992007308,114531.80170973676,117051.4347215541,Alabama
2011-10-31,115866.26188897135,114607.75998171775,117122.53907208653,Alabama
